Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-03-16,824931.6240,911892.0610,847241.4362,203347.9347,82453.2044,61432.3741,64069.2231,132187.6110,110307.5558,53908.4384,48119.5737,43655.0892,25450.6196
2022-03-17,830433.9433,923300.7580,857498.4177,205589.2619,83077.3021,59472.8426,63599.6023,132560.2953,110769.7793,55364.3840,49114.4294,44291.3369,26594.7096
2022-03-18,856990.0709,933413.2969,875049.6065,219593.5111,83256.7367,60415.3328,64416.4131,134899.6905,112662.1820,56776.8485,51158.5066,46136.8092,27674.0404
2022-03-21,858318.0313,933140.5213,872616.8518,221926.1366,83412.7659,61725.2364,63883.0662,134329.4422,112642.3057,56861.7045,49976.9536,46382.8712,27177.5492
2022-03-22,867760.8625,944059.6038,889766.2741,220182.9244,83506.3872,61118.2080,64950.8183,136529.6610,115759.5795,58057.9781,51196.3120,47813.5542,28645.4398
2022-03-23,851477.1937,931901.4511,876979.0218,212794.7789,82187.9440,60660.2737,63680.1428,134477.6045,114441.5914,57536.5120,50442.4941,46804.6923,28451.1599
2022-03-24,889834.1132,945949.5296,896471.2498,233680.7688,84192.9118,64179.9757,66554.0293,136547.5762,117169.8952,57621.5453,51886.3371,49096.5948,28904.4789
2022-03-25,884374.4568,950569.0398,895723.5740,229878.7786,83264.5448,63722.0414,66813.2667,136359.0124,117253.4751,58017.3070,52418.0253,48650.1647,27997.8409
2022-03-28,895361.4198,957330.4615,909582.6457,234253.5868,82952.4801,64025.5556,67239.2988,139511.1783,117073.4931,59502.1253,52836.2937,48998.1700,28969.2382
2022-03-29,910531.0115,969173.3782,925236.2484,237881.2067,85230.4974,65617.6778,68151.9317,141626.0657,117942.4874,59616.3859,54317.9530,49493.8124,30652.9936
2022-03-30,892998.2352,963188.9742,915016.5571,229862.1832,83264.5448,63482.4264,67049.1266,140930.0419,117473.2226,58555.1436,53842.9747,48576.3488,29962.2226
2022-03-31,874932.0015,948364.2166,903675.0400,226508.4742,81337.5884,58221.5082,66899.3206,138437.9700,115097.0648,57391.9710,52545.6361,48854.0461,29638.4221
2022-04-01,870765.6618,951052.0856,901955.0894,214131.6497,86259.5993,69258.3856,60982.6277,131712.3154,105809.4768,52677.0821,70778.3631,43903.9846,35252.1775
2022-04-04,891849.9074,959199.2587,920525.1267,219326.2115,87937.9738,70756.3463,61748.0906,134074.7834,107939.2417,54218.6498,73623.9801,44933.2807,37291.3495
2022-04-05,866100.8893,947083.3632,900085.5100,207870.8813,86016.2388,68381.3713,59731.8088,132333.7944,106142.0301,52836.5031,72978.6741,44404.4710,35405.1164
2022-04-06,832169.2646,937613.1472,880543.4317,195654.0319,84908.5349,66364.8817,58552.9653,127489.6360,103089.6974,51129.8777,70290.4431,41552.6595,33136.5372
2022-04-07,829876.4198,942337.6909,882637.1422,194058.7935,84354.6419,66396.8914,58655.0974,128285.6082,102591.7909,50816.9919,70180.2749,41807.6264,32728.7033
2022-04-08,810789.6194,939817.9704,870298.6982,185329.0724,83322.4679,64655.6686,57094.0148,126412.6794,100628.1226,49746.4435,69985.1156,41244.1872,32371.8474
2022-04-11,784167.3243,923754.2779,849709.6867,175693.4322,81879.0685,62331.9073,56472.4946,121427.9951,97257.9240,48671.2265,68137.3547,40026.0325,32269.8889
2022-04-12,776262.7772,920331.4454,846120.2346,172382.6938,81769.9766,60878.7524,56906.2881,120065.8687,96420.6636,48563.4994,67407.0674,40107.8707,31760.0965
2022-04-13,795865.3998,930872.6510,863319.5851,177986.1023,85177.0584,62568.7615,57632.8469,122432.6029,98066.1117,50094.4373,67674.6314,41351.2075,32881.6398
2022-04-14,769656.1235,919281.5844,843577.8718,170410.6754,82542.0330,59572.8353,55814.9887,119116.5858,95677.4046,48859.4750,66160.5219,39843.4659,31658.1381
2022-04-18,776704.0195,919659.6644,844226.0811,174619.2817,82886.0796,60104.1652,57045.3708,119410.2878,96391.9800,49206.8250,66346.2608,39723.8521,30969.9165
2022-04-19,793968.4474,934505.4828,863095.2200,177946.0458,83456.7365,62050.2374,58126.9621,121445.0327,98152.9581,50923.5936,68404.9090,40554.8422,32907.1300
2022-04-20,777493.6282,933812.4378,850507.2126,172206.3499,83087.4996,60187.3836,58136.6742,121896.2576,96666.4111,49597.4900,63088.2752,40026.0325,32601.2546
2022-04-21,748904.7056,919848.6705,832909.3722,161793.1954,81954.5985,57517.9379,57651.3341,119533.7492,94231.2550,47761.0722,59200.7406,37832.0919,31428.7309
2022-04-22,729190.9837,894608.9371,811098.9125,156438.2694,80293.0084,56423.2732,57089.1468,116647.6803,90321.2657,46490.2008,57954.2095,37048.3153,30485.6143
2022-04-25,742164.3255,899795.3303,821518.1609,159540.6125,80762.9724,58055.6708,57179.5894,119495.4350,92917.2335,47045.4419,58860.7815,37438.6306,30867.9580
2022-04-26,708525.8566,873736.6606,790509.9010,150610.4093,77850.9902,54515.6136,54474.6841,115025.8597,89577.2459,44893.0766,56959.5097,36273.9837,28344.4838
2022-04-27,701734.1709,876193.3340,789562.6682,147620.3687,75744.6401,54355.5749,54423.1336,120559.6337,86288.9689,44498.8683,55070.8193,36255.0983,26917.0651
2022-04-28,742247.6394,898325.5384,817604.7992,158578.6265,79906.9939,57383.5059,56310.0607,123288.2333,89480.9853,46569.5869,64759.7611,38058.7260,27911.1597
2022-04-29,705632.5929,865127.2995,780813.6762,148678.5088,77985.2588,54746.0650,53922.2287,118133.3086,86149.2967,40026.8218,63104.0176,36377.8581,26509.2288
2022-05-02,729099.6964,870334.8212,793850.1798,156582.5773,78681.7784,57511.5350,56058.1411,121091.7263,88016.7103,40097.1926,66459.5708,37224.5875,27375.8771
2022-05-03,728648.3727,874324.6044,794697.5560,157135.6859,78572.6865,58337.3357,56526.9555,119946.6465,88583.6978,40017.8040,66742.8724,35893.1134,26891.5749
2022-05-04,757602.6896,900950.1570,821568.0111,163003.6179,80553.1602,63644.2224,58714.4343,123437.1972,92303.4369,40557.2627,70325.0843,37076.6457,27987.6280
2022-05-05,714694.4691,868927.9411,780190.5091,151059.3279,77330.7003,60091.3643,56412.1889,118060.9328,87958.2048,37490.7133,65562.4482,34933.0693,25795.5194
2022-05-06,708589.3095,863741.5480,770843.0801,149704.5515,76894.3120,61032.3882,56422.8897,116945.6484,87385.1832,36964.2972,64142.7887,34933.0693,24164.1814
2022-05-09,664813.4056,836086.5858,740682.5864,135876.4381,73260.6678,55283.7979,54751.8845,112625.0707,84942.4714,35037.2172,61763.0511,32257.5325,19015.2745
2022-05-10,678960.0967,838018.4302,749680.9077,141046.9536,74536.2228,56800.9673,56548.3491,114719.3594,86364.8332,35059.7617,62216.3250,33085.3742,18581.9504
2022-05-11,657979.4382,824705.6539,727446.6039,133311.2392,73705.4278,56282.4383,55159.4244,110909.5773,85766.5312,33936.7184,59411.6471,32392.8832,17103.5512
2022-05-12,653816.0367,823844.7314,725726.7312,129663.7927,73587.9436,55731.9045,55593.2140,108696.0798,85193.8871,34438.6562,60198.5918,32002.5679,18709.3991
2022-05-13,689532.8084,843541.0525,752622.2285,141936.8010,76332.0746,60891.5582,57214.6262,111152.2139,87614.6926,36411.1496,62521.6719,34199.6569,21258.3635
2022-05-16,681183.0641,840118.3554,743897.9666,138393.5598,75870.5234,60328.2186,56672.8597,111313.9558,86402.5882,35688.2731,62968.6624,33050.7494,20493.6737
2022-05-17,706328.1787,857399.9894,763166.0635,145712.4377,78312.5278,65596.6975,59151.1382,113578.5726,87933.6678,37156.2486,63780.7940,33796.7529,21309.3415
2022-05-18,669483.4488,822836.7890,725701.9231,135780.2379,75971.2163,61634.1356,55495.9578,108407.3841,84480.7984,34497.2744,60513.3784,32285.8605,20417.2054
2022-05-19,667110.4698,817797.2802,721813.2915,137271.2863,75702.6791,61883.7957,53126.6050,108006.2960,83336.6484,34563.7801,60214.3343,31823.1496,21181.8952
